"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"X_US_FSGOV","Government expenditure on education, US$ (millions)","COG","Congo","2017","2017",493.77745,"‡","UIS Estimation"
"X_US_FSGOV","Government expenditure on education, US$ (millions)","COG","Congo","2018","2018",409.48305,"‡","UIS Estimation"
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","BGR","Bulgaria","2017","2017",902.03688,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","BGR","Bulgaria","2018","2018",1035.29209,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","BGR","Bulgaria","2019","2019",1123.83457,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","DNK","Denmark","2016","2016",,"n","Magnitude nil or negligible"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","DNK","Denmark","2017","2017",,"n","Magnitude nil or negligible"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","DNK","Denmark","2018","2018",,"n","Magnitude nil or negligible"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","DNK","Denmark","2019","2019",,"n","Magnitude nil or negligible"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","MCO","Monaco","2016","2016",46.89043,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","MCO","Monaco","2017","2017",93.76383,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","MCO","Monaco","2019","2019",40.68338,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","MCO","Monaco","2021","2021",,"n","Magnitude nil or negligible"
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","KNA","Saint Kitts and Nevis","2021","2021",3.57,,
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","KAZ","Kazakhstan","2016","2016",,"n","Magnitude nil or negligible"
"X_US_FSGOV","Government expenditure on education, US$ (millions)","JAM","Jamaica","2016","2016",754.08689,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","JAM","Jamaica","2017","2017",740.47952,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","JAM","Jamaica","2018","2018",801.73014,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","JAM","Jamaica","2019","2019",812.28104,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","ESP","Spain","2016","2016",9114.59997,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","ESP","Spain","2017","2017",9605.33449,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","ESP","Spain","2018","2018",10290.63447,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","ESP","Spain","2019","2019",10403.30908,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","SVK","Slovakia","2016","2016",747.24846,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","SVK","Slovakia","2017","2017",750.41183,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","SVK","Slovakia","2018","2018",799.77208,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","SVK","Slovakia","2019","2019",824.9189,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","LVA","Latvia","2016","2016",,"a","Category not applicable"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","LVA","Latvia","2017","2017",,"n","Magnitude nil or negligible"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","LVA","Latvia","2018","2018",,"n","Magnitude nil or negligible"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","LVA","Latvia","2019","2019",,"n","Magnitude nil or negligible"
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","GTM","Guatemala","2016","2016",258.90161,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","GTM","Guatemala","2017","2017",277.83815,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","GTM","Guatemala","2018","2018",302.62813,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","GTM","Guatemala","2019","2019",306.38373,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","GTM","Guatemala","2020","2020",284.93217,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","GTM","Guatemala","2021","2021",297.89139,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","GBR","United Kingdom of Great Britain and Northern Ireland","2016","2016",,"n","Magnitude nil or negligible"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","GBR","United Kingdom of Great Britain and Northern Ireland","2017","2017",,"n","Magnitude nil or negligible"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","GBR","United Kingdom of Great Britain and Northern Ireland","2018","2018",,"n","Magnitude nil or negligible"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","GBR","United Kingdom of Great Britain and Northern Ireland","2019","2019",,"n","Magnitude nil or negligible"
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","AUT","Austria","2016","2016",4735.9174,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","AUT","Austria","2017","2017",4902.06158,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","AUT","Austria","2018","2018",5004.75663,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","AUT","Austria","2019","2019",4776.97292,,
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","MUS","Mauritius","2016","2016",12.91337,,
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","MUS","Mauritius","2017","2017",13.37576,,
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","MUS","Mauritius","2018","2018",13.67404,,
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","MUS","Mauritius","2019","2019",14.49562,,
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","MUS","Mauritius","2020","2020",14.38821,,
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","MUS","Mauritius","2021","2021",6.03605,,
"X_US_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, US$ (millions)","HUN","Hungary","2016","2016",844.83191,,
"X_US_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, US$ (millions)","HUN","Hungary","2017","2017",964.55381,,
"X_US_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, US$ (millions)","HUN","Hungary","2018","2018",1066.08831,,
"X_US_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, US$ (millions)","HUN","Hungary","2019","2019",873.89747,,
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","SVN","Slovenia","2016","2016",,"a","Category not applicable"
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","SVN","Slovenia","2017","2017",,"a","Category not applicable"
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","SVN","Slovenia","2018","2018",,"a","Category not applicable"
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","SVN","Slovenia","2019","2019",,"a","Category not applicable"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","CRI","Costa Rica","2016","2016",161.88874,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","CRI","Costa Rica","2017","2017",371.9197,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","CRI","Costa Rica","2018","2018",481.37064,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","CRI","Costa Rica","2019","2019",,"n","Magnitude nil or negligible"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","CRI","Costa Rica","2020","2020",223.80954,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","TCA","Turks and Caicos Islands","2018","2018",,"n","Magnitude nil or negligible"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","TCA","Turks and Caicos Islands","2019","2019",2.71701,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","TCA","Turks and Caicos Islands","2021","2021",1.03613,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","MEX","Mexico","2016","2016",11161.25982,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","MEX","Mexico","2017","2017",10549.21444,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","MEX","Mexico","2018","2018",11298.24036,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","MEX","Mexico","2019","2019",11121.04632,,
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","BLZ","Belize","2016","2016",17.40605,,
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","BLZ","Belize","2017","2017",17.61215,,
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","BLZ","Belize","2018","2018",18.77764,,
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","BLZ","Belize","2019","2019",17.25143,,
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","BLZ","Belize","2020","2020",18.9685,,
"X_US_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, US$ (millions)","MMR","Myanmar","2018","2018",39.14369,,
"X_US_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, US$ (millions)","MMR","Myanmar","2019","2019",24.37859,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","FRA","France","2017","2017",31085.88881,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","FRA","France","2018","2018",32901.39264,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","FRA","France","2019","2019",31864.16271,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","IRL","Ireland","2016","2016",3976.22843,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","IRL","Ireland","2017","2017",3636.11615,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","IRL","Ireland","2018","2018",4121.93432,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","IRL","Ireland","2019","2019",4189.07389,,
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","DMA","Dominica","2019","2019",5.52731,,
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","DMA","Dominica","2020","2020",6.26805,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","SMR","San Marino","2017","2017",1.45752,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","SMR","San Marino","2018","2018",1.52371,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","SMR","San Marino","2019","2019",1.47879,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","SMR","San Marino","2020","2020",1.45584,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","TTO","Trinidad and Tobago","2020","2020",279.92078,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","TTO","Trinidad and Tobago","2021","2021",186.81275,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","CPV","Cabo Verde","2016","2016",15.51598,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","CPV","Cabo Verde","2017","2017",15.72857,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","CPV","Cabo Verde","2019","2019",9.3882,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","EST","Estonia","2016","2016",1241.58887,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","EST","Estonia","2017","2017",1335.80567,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","EST","Estonia","2018","2018",1604.72705,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","EST","Estonia","2019","2019",1646.00815,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","ZMB","Zambia","2016","2016",92.96528,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","ZMB","Zambia","2017","2017",135.0796,,
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","SWE","Sweden","2016","2016",6271.13703,,
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","SWE","Sweden","2017","2017",6619.94659,,
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","SWE","Sweden","2018","2018",7107.10034,,
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","SWE","Sweden","2019","2019",6750.28592,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","BRA","Brazil","2016","2016",24994.51047,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","BRA","Brazil","2017","2017",27380.60421,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","BRA","Brazil","2018","2018",24840.73828,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","BRA","Brazil","2019","2019",23876.91582,,
"X_US_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, US$ (millions)","IRN","Iran (Islamic Republic of)","2016","2016",1365.03842,,
"X_US_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, US$ (millions)","IRN","Iran (Islamic Republic of)","2017","2017",1491.7256,,
"X_US_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, US$ (millions)","IRN","Iran (Islamic Republic of)","2018","2018",1699.61214,,
"X_US_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, US$ (millions)","IRN","Iran (Islamic Republic of)","2019","2019",957.13911,,
"X_US_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, US$ (millions)","IRN","Iran (Islamic Republic of)","2020","2020",798.66369,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","JPN","Japan","2016","2016",49117.23777,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","JPN","Japan","2017","2017",54953.51146,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","JPN","Japan","2018","2018",53227.19322,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","JPN","Japan","2019","2019",56399.05793,,
"X_US_02_FSGOV","Government expenditure on pre-primary education, US$ (millions)","GIN","Guinea","2016","2016",0.21457,,
"X_US_02_FSGOV","Government expenditure on pre-primary education, US$ (millions)","GIN","Guinea","2017","2017",0.23502,,
"X_US_02_FSGOV","Government expenditure on pre-primary education, US$ (millions)","GIN","Guinea","2018","2018",0.37171,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","BHR","Bahrain","2017","2017",824.59461,,
"X_US_02_FSGOV","Government expenditure on pre-primary education, US$ (millions)","ISR","Israel","2016","2016",2650.65051,,
"X_US_02_FSGOV","Government expenditure on pre-primary education, US$ (millions)","ISR","Israel","2017","2017",3089.5481,,
"X_US_02_FSGOV","Government expenditure on pre-primary education, US$ (millions)","ISR","Israel","2018","2018",3269.68666,,
"X_US_02_FSGOV","Government expenditure on pre-primary education, US$ (millions)","ISR","Israel","2019","2019",3384.1794,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","FIN","Finland","2016","2016",6095.07565,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","FIN","Finland","2017","2017",5983.50321,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","FIN","Finland","2018","2018",6368.061,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","FIN","Finland","2019","2019",6357.60548,,
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","VAT","Holy See","2016","2016",,"a","Category not applicable"
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","VAT","Holy See","2017","2017",,"a","Category not applicable"
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","VAT","Holy See","2018","2018",,"a","Category not applicable"
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","VAT","Holy See","2019","2019",,"a","Category not applicable"
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","VAT","Holy See","2020","2020",,"a","Category not applicable"
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","VAT","Holy See","2021","2021",,"a","Category not applicable"
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","VAT","Holy See","2022","2022",,"a","Category not applicable"
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CHE","Switzerland","2016","2016",34268.50789,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CHE","Switzerland","2017","2017",34882.73526,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","CHE","Switzerland","2018","2018",35771.15938,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","LBR","Liberia","2016","2016",67.47072,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","LBR","Liberia","2021","2021",22.14995,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","NOR","Norway","2016","2016",29618.84143,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","NOR","Norway","2017","2017",31520.86629,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","NOR","Norway","2018","2018",33404.73409,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","NOR","Norway","2019","2019",32145.82647,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","PER","Peru","2016","2016",2379.96458,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","PER","Peru","2017","2017",2802.00701,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","PER","Peru","2018","2018",2829.2493,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","PER","Peru","2019","2019",2916.30367,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","PER","Peru","2020","2020",2920.14664,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","PER","Peru","2021","2021",3017.00456,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","OMN","Oman","2016","2016",1516.21555,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","OMN","Oman","2017","2017",1616.42826,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","OMN","Oman","2019","2019",1823.63537,,
"X_US_2T3_FSGOV","Government expenditure on secondary education, US$ (millions)","OMN","Oman","2020","2020",2162.65083,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","AND","Andorra","2016","2016",33.47465,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","AND","Andorra","2017","2017",34.1629,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","AND","Andorra","2018","2018",37.12919,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","AND","Andorra","2019","2019",36.60696,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","AUS","Australia","2016","2016",21044.40239,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","AUS","Australia","2017","2017",22664.92726,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","AUS","Australia","2018","2018",25126.88939,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","AUS","Australia","2019","2019",24916.71199,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","DOM","Dominican Republic","2016","2016",1416.01415,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","DOM","Dominican Republic","2017","2017",1324.13277,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","DOM","Dominican Republic","2018","2018",1518.62923,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","DOM","Dominican Republic","2019","2019",1790.48306,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","DOM","Dominican Republic","2020","2020",1954.75693,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","DOM","Dominican Republic","2021","2021",1831.0775,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","MLT","Malta","2016","2016",98.27748,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","MLT","Malta","2017","2017",101.08784,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","MLT","Malta","2019","2019",124.44174,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","BEN","Benin","2016","2016",342.70413,"‡","UIS Estimation"
"X_US_FSGOV","Government expenditure on education, US$ (millions)","BEN","Benin","2017","2017",449.07828,"‡","UIS Estimation"
"X_US_FSGOV","Government expenditure on education, US$ (millions)","BEN","Benin","2018","2018",418.11987,"‡","UIS Estimation"
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","BFA","Burkina Faso","2016","2016",49.75725,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","NLD","Netherlands","2016","2016",9132.28386,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","NLD","Netherlands","2017","2017",9285.10151,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","NLD","Netherlands","2018","2018",10003.05316,,
"X_US_2_FSGOV","Government expenditure on lower secondary education, US$ (millions)","NLD","Netherlands","2019","2019",9626.28871,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","ISL","Iceland","2016","2016",77.28038,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","ISL","Iceland","2017","2017",93.0575,,
